date,new_construction,gdp,fed_rate,permit,mortgage_rate,personal_income,price
2000-01-01,107.3,101.4913973,5.448387096774193,1727,8.21,8382.6,100.552
2000-02-01,121.8,101.5524452,5.7348275862068965,1692,8.325,8443.7,101.339
2000-03-01,153.7,101.6269063,5.853548387096774,1651,8.24,8503.7,102.127
2000-04-01,138.9,101.6981605,6.019666666666667,1597,8.1525,8542.9,102.922
2000-05-01,148.9,101.740194,6.268064516129033,1543,8.515,8580.9,103.677
2000-06-01,155.1,101.732697,6.528333333333333,1572,8.288,8634.2,104.424
2000-07-01,129.8,101.6782984,6.5445161290322575,1542,8.1475,8701.2,105.054
2000-08-01,146.8,101.5888958,6.496774193548387,1552,8.0275,8747.4,105.767
2000-09-01,131.4,101.4754871,6.5169999999999995,1570,7.912,8792.1,106.537
2000-10-01,134.8,101.3407527,6.509354838709677,1577,7.795,8825.5,107.382
2000-11-01,121.0,101.1836476,6.514333333333334,1614,7.745,8842.0,108.302
2000-12-01,102.9,101.0056505,6.402258064516129,1543,7.382,8874.7,109.14
2001-01-01,117.0,100.8186916,5.975806451612903,1699,7.0325,8975.6,109.846
2001-02-01,114.3,100.6361831,5.494285714285715,1656,7.05,9010.9,110.5
2001-03-01,147.7,100.4649786,5.3109677419354835,1659,6.952,9041.2,111.108
2001-04-01,148.6,100.2972813,4.8020000000000005,1666,7.0775,9033.8,111.651
2001-05-01,159.8,100.1209299,4.21225806451613,1665,7.145,9030.6,112.163
2001-06-01,153.9,99.92942894,3.969666666666667,1626,7.16,9032.9,112.796
2001-07-01,140.6,99.73257891,3.769032258064516,1598,7.1275,9028.1,113.491
2001-08-01,151.4,99.54789353,3.6525806451612906,1615,6.95,9013.6,114.166
2001-09-01,125.2,99.39263745,3.069,1565,6.8175,8987.3,114.811
2001-10-01,140.2,99.27522739,2.485161290322581,1566,6.6175,9000.0,115.308
2001-11-01,124.4,99.19814233,2.087,1651,6.658,8997.6,115.855
2001-12-01,113.6,99.15813617,1.817741935483871,1680,7.065,9002.1,116.453
2002-01-01,115.7,99.14357495,1.7296774193548385,1665,6.9975,9025.1,117.143
2002-02-01,122.5,99.14002114,1.7396428571428573,1787,6.8925,9040.4,117.844
2002-03-01,143.2,99.13397384,1.73,1691,7.014,9059.0,118.687
2002-04-01,156.0,99.11582146,1.7530000000000001,1669,6.985,9108.7,119.611
2002-05-01,164.2,99.07890056,1.751290322580645,1716,6.806,9140.4,120.724
